show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,duration_int,duration_type
s1,Movie,dick johnson is dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,2021,90.0,min
s3,TV Show,ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,1.0,Season
s6,TV Show,midnight mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,1.0,Season
s14,Movie,confessions of an invisible girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",2021,91.0,min
s8,Movie,sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",2021,125.0,min
s9,TV Show,the great british baking show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",2021,9.0,Seasons
s10,Movie,the starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",2021,104.0,min
s939,Movie,motu patlu in the game of zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",2021,87.0,min
s13,Movie,je suis karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",2021,127.0,min
s940,Movie,motu patlu in wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",2021,76.0,min
s941,Movie,motu patlu: deep sea adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",2021,76.0,min
s942,Movie,motu patlu: mission moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",2021,71.0,min
s852,Movie,99 songs (tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",2021,131.0,min
s471,Movie,bridgerton - the afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,2021,39.0,min
s730,Movie,bling empire - the afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,36 min,Movies,2021,36.0,min
s731,Movie,cobra kai - the afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,2021,34.0,min
s913,Movie,the circle - the afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35 min,Comedies,2021,35.0,min
s4,TV Show,jailbirds new orleans,Not Given,Pakistan,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",2021,1.0,Season
s15,TV Show,crime stories: india detectives,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",2021,1.0,Season
s3232,Movie,true: winter wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,TV-Y,46 min,Children & Family Movies,2019,46.0,min
s4832,TV Show,true: magical friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,2018,1.0,Season
s4833,TV Show,true: wonderful wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,2018,1.0,Season
s4857,TV Show,dance & sing with true,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,2018,1.0,Season
s7,Movie,my little pony: a new generation,"Robert Cullen, José Luis Ucha",Not Given,2021-09-24,2021,PG,91 min,Children & Family Movies,2021,91.0,min
s12,TV Show,bangkok breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,1.0,Season
s17,Movie,europe's most dangerous man: otto skorzeny in spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,2021-09-22,2020,TV-MA,67 min,"Documentaries, International Movies",2021,67.0,min
s7930,Movie,samudri lootere,Anirban Majumder,Not Given,2019-06-18,2018,TV-Y,65 min,Children & Family Movies,2019,65.0,min
s21,TV Show,monsters inside: the 24 faces of billy milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2021,1.0,Season
s24,Movie,go! go! cory carson: chrissy takes the wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61 min,Children & Family Movies,2021,61.0,min
s25,Movie,jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",2021,166.0,min
s28,Movie,grown ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min,Comedies,2021,103.0,min
s29,Movie,dark skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",2021,97.0,min
s30,Movie,paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106 min,Thrillers,2021,106.0,min
s20,TV Show,jaguar,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,1.0,Season
s32,TV Show,chicago party aunt,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,TV Comedies,2021,1.0,Season
s34,TV Show,squid game,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",2021,1.0,Season
s35,TV Show,tayo and little wizards,Not Given,Pakistan,2021-09-17,2020,TV-Y7,1 Season,Kids' TV,2021,1.0,Season
s75,TV Show,the world's most amazing vacation rentals,Not Given,Pakistan,2021-09-14,2021,TV-PG,2 Seasons,Reality TV,2021,2.0,Seasons
s84,TV Show,metal shop masters,Not Given,Pakistan,2021-09-10,2021,TV-MA,1 Season,Reality TV,2021,1.0,Season
s86,TV Show,pokémon master journeys: the series,Not Given,Pakistan,2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",2021,1.0,Season
s88,TV Show,titipo titipo,Not Given,Pakistan,2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2021,2.0,Seasons
s90,TV Show,mighty raju,Not Given,Pakistan,2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV,2021,4.0,Seasons
s101,TV Show,tobot galaxy detectives,Not Given,Pakistan,2021-09-07,2019,TV-Y7,2 Seasons,Kids' TV,2021,2.0,Seasons
s122,TV Show,hotel del luna,Not Given,Pakistan,2021-09-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,1.0,Season
s133,TV Show,brave animated series,Not Given,Pakistan,2021-09-01,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",2021,1.0,Season
s148,TV Show,how to be a cowboy,Not Given,Pakistan,2021-09-01,2021,TV-PG,1 Season,Reality TV,2021,1.0,Season
s166,TV Show,oldsters,Not Given,Pakistan,2021-09-01,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,1.0,Season
s190,TV Show,bread barbershop,Not Given,Pakistan,2021-08-28,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",2021,2.0,Seasons
